Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.20 23:42:21],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.72E-03,3.2,80,0,80,0,211758336,211769168,211751728,211756672,211762304,211761664,211767056,211758640
[2026.02.20 23:42:22],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.46E-03,3.72E-03,3.2,80,0,80,0,211753456,211765872,211752768,211756336,211761872,211761680,211771904,211757904
[2026.02.20 23:42:23],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.46E-03,3.81E-03,3.2,80,0,80,0,211755296,211766544,211752320,211756416,211762992,211761552,211766448,211758144
[2026.02.20 23:42:24],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.46E-03,3.75E-03,3.2,80,0,80,0,211756992,211767184,211751472,211757392,211763696,211762528,211766160,211758912
[2026.02.20 23:42:25],64.8,9,1000,1.8,562,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.44E-03,3.78E-03,3.2,80,0,80,0,211755680,211769632,211751712,211755488,211761840,211761744,211770016,211757392
[2026.02.20 23:42:26],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.49E-03,3.78E-03,3.2,80,0,80,0,211757168,211763520,211749712,211753680,211762272,211762352,211769680,211756080
[2026.02.20 23:42:27],64.8,9,1000,1.8,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.44E-03,3.72E-03,3.2,80,0,80,0,211756320,211767744,211751280,211757408,211761088,211763136,211769744,211761312
[2026.02.20 23:42:28],64.8,9,0,0.0,561,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.44E-03,2.43E-03,0.5,7,0,0,0,211756864,211762784,211751776,211755232,211759856,211763024,211766112,211757584
[2026.02.20 23:42:29],64.8,9,0,0.0,0,80.0,80.0,80,80,560,0,0,0,0,0,0.0,5.44E-03,4.14E-05,0.0,3,0,0,0,211758192,211761248,211749296,211754576,211760512,211764640,211771680,211756448
[2026.02.20 23:42:30],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,1.38E-05,0.0,1,0,0,0,211758880,211760416,211749232,211754448,211761168,211764640,211769456,211756352
[2026.02.20 23:42:31],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.42E-03,1.05E-05,0.0,0,0,0,0,211755536,211764304,211749280,211756848,211761520,211764656,211767120,211757664
[2026.02.20 23:42:32],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.44E-03,9.04E-06,0.0,0,0,0,0,211757792,211762016,211749296,211755600,211761696,211764896,211772112,211757120
[2026.02.20 23:42:33],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.44E-03,8.08E-06,0.0,0,0,0,0,211753840,211767456,211752656,211753808,211761152,211763824,211771344,211756656
[2026.02.20 23:42:34],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.44E-03,7.33E-06,0.0,0,0,0,0,211753360,211764192,211752896,211754320,211761136,211763312,211770384,211756800
[2026.02.20 23:42:35],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.49E-03,6.70E-06,0.0,0,0,0,0,211753728,211763408,211750224,211752640,211760944,211764144,211769808,211757120
[2026.02.20 23:42:36],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.49E-03,6.36E-06,0.0,0,0,0,0,211753376,211765488,211752944,211755744,211761952,211764752,211770912,211755216
